,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
178,Boss Bottled Elixir Hugo Boss 2023,Angels' Share Kilian 2020,0.57,0.969,0.989,0.781
179,Boss Bottled Elixir Hugo Boss 2023,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.18,0.705,0.447,0.963
180,Boss Bottled Elixir Hugo Boss 2023,Armani Code Absolu pour Homme Giorgio Armani 2019,0.547,0.992,0.992,0.936
181,Boss Bottled Elixir Hugo Boss 2023,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.64,0.975,0.966,0.971
182,Boss Bottled Elixir Hugo Boss 2023,Artisan Pure John Varvatos 2017,0.136,0.664,0.241,0.955
183,Boss Bottled Elixir Hugo Boss 2023,Aventus Creed 2010,0.441,0.907,0.678,0.983
184,Boss Bottled Elixir Hugo Boss 2023,Awake Akro 2018,0.525,0.946,0.985,0.797
185,Boss Bottled Elixir Hugo Boss 2023,Bad Boy Cobalt Carolina Herrera 2022,0.399,0.853,0.694,0.881
186,Boss Bottled Elixir Hugo Boss 2023,Bentley for Men Absolute Bentley 2014,0.948,0.996,0.996,0.983
187,Boss Bottled Elixir Hugo Boss 2023,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.173,0.665,0.384,0.792
188,Boss Bottled Elixir Hugo Boss 2023,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.347,0.82,0.681,0.972
189,Boss Bottled Elixir Hugo Boss 2023,Bon Monsieur Rogue 2020,0.376,0.882,0.71,0.977
190,Boss Bottled Parfum Hugo Boss 2022,1 Million Elixir Paco Rabanne 2022,0.649,0.913,0.98,0.933
191,Boss Bottled Parfum Hugo Boss 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.724,0.933,0.975,0.934
192,Boss Bottled Parfum Hugo Boss 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.727,0.974,0.985,0.971
193,Boss Bottled Parfum Hugo Boss 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.423,0.881,0.798,0.993
194,Boss Bottled Parfum Hugo Boss 2022,Althaïr Parfums de Marly 2023,0.486,0.952,0.906,0.911
195,Boss Bottled Parfum Hugo Boss 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.504,0.994,0.986,0.624
196,Boss Bottled Parfum Hugo Boss 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.735,0.93,0.848,0.964
197,Boss Bottled Parfum Hugo Boss 2022,Angels' Share Kilian 2020,0.579,0.897,0.891,0.782
198,Boss Bottled Parfum Hugo Boss 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.483,0.817,0.692,0.993
199,Boss Bottled Parfum Hugo Boss 2022,Armani Code Absolu pour Homme Giorgio Armani 2019,0.686,0.952,0.957,0.981
200,Boss Bottled Parfum Hugo Boss 2022,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.806,0.995,0.992,0.995
201,Boss Bottled Parfum Hugo Boss 2022,Artisan Pure John Varvatos 2017,0.377,0.784,0.51,0.982
202,Boss Bottled Parfum Hugo Boss 2022,Aventus Creed 2010,0.74,0.969,0.866,1.0
203,Boss Bottled Parfum Hugo Boss 2022,Awake Akro 2018,0.551,0.977,0.98,0.796
204,Boss Bottled Parfum Hugo Boss 2022,Bad Boy Cobalt Carolina Herrera 2022,0.831,0.915,0.887,0.945
205,Boss Bottled Parfum Hugo Boss 2022,Bentley for Men Absolute Bentley 2014,0.618,0.984,0.957,0.951
206,Boss Bottled Parfum Hugo Boss 2022,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.454,0.794,0.64,0.808
207,Boss Bottled Parfum Hugo Boss 2022,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.668,0.919,0.869,0.998
208,Boss Bottled Parfum Hugo Boss 2022,Bon Monsieur Rogue 2020,0.512,0.956,0.895,0.939
209,Boss Bottled Parfum Hugo Boss 2022,Boss Bottled Elixir Hugo Boss 2023,0.662,0.974,0.941,0.985
210,Chrome Azzaro 1996 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.263,0.504,0.53,0.968
211,Chrome Azzaro 1996 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.286,0.54,0.598,0.972
212,Chrome Azzaro 1996 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.521,0.629,0.764,0.994
213,Chrome Azzaro 1996 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.932,0.965,0.971,0.962
214,Chrome Azzaro 1996 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.169,0.579,0.34,0.901
215,Chrome Azzaro 1996 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.249,0.712,0.583,0.606
