name,upvotes,downvotes,year,order
Very Irresistible for men Givenchy (male) ~ 2005,21,17,2005,319
Nuit d’Issey Issey Miyake (male) ~ 2014,23,21,2014,320
Fleur du Mâle Jean Paul Gaultier (male) ~ 2007,21,17,2007,321
Original Santal Creed (unisex) ~ 2005,37,50,2005,322
Halloween Man X Halloween (male) ~ 2019,30,36,2019,323
Dunhill Edition Alfred Dunhill (male) ~ 1984,24,24,1984,324
Ormonde Man Ormonde Jayne (male) ~ 2004,19,14,2004,325
Mousse Illuminee Rogue Perfumery (unisex) ~ 2018,17,10,2018,326
Boss Number One Hugo Boss (male) ~ 1985,20,16,1985,327
Godolphin Parfums de Marly (male) ~ 2010,19,14,2010,328
Tabac Maurer & Wirtz (male) ~ 1959,15,6,1959,329
Indonesian Oud Eau de Toilette Ermenegildo Zegna (male) ~ 2012,24,25,2012,330
Photo Karl Lagerfeld (male) ~ 1990,22,21,1990,331
Chic For Men Carolina Herrera (male) ~ 2003,26,30,2003,332
Bergamote 22 Le Labo (unisex) ~ 2006,23,24,2006,333
Acqua di Parma Colonia Assoluta Acqua di Parma (unisex) ~ 2003,23,24,2003,334
Xeryus Rouge Givenchy (male) ~ 1995,23,24,1995,335
Comme des Garcons Series 3 Incense: Avignon Comme des Garcons (unisex) ~ 2002,20,18,2002,336
Nuit d'Issey Pulse Of The Night Issey Miyake (male) ~ 2019,24,26,2019,337
Mediterranean Neroli Ermenegildo Zegna (male) ~ 2015,16,10,2015,338
Le Beau Jean Paul Gaultier (male) ~ 2019,26,30,2019,339
Gaultier 2 Jean Paul Gaultier (unisex) ~ 2005,20,18,2005,340
Armani Privé Oud Royal Giorgio Armani (unisex) ~ 2010,14,6,2010,341
Salvador Dali Pour Homme Salvador Dali (male) ~ 1987,17,13,1987,342
Vetiver Extraordinaire Frederic Malle (male) ~ 2002,18,15,2002,343
Versus Uomo Versace (male) ~ 1991,14,7,1991,344
Ambre Nuit Dior (unisex) ~ 2018,16,11,2018,345
Gentlemen Only Absolute Givenchy (male) ~ 2016,18,15,2016,346
Monsieur Balmain Pierre Balmain (male) ~ 1990,13,5,1990,347
Guerlain Homme Eau de Parfum (2016) Guerlain (male) ~ 2016,13,5,2016,348
Oscar de la Renta Pour Lui Oscar de la Renta (male) ~ 1980,11,1,1980,349
Tumulte pour Homme Christian Lacroix (male) ~ 2005,17,14,2005,350
French Lover Frederic Malle (male) ~ 2007,17,14,2007,351
Lapidus Pour Homme Ted Lapidus (male) ~ 1987,23,26,1987,352
Dolce&Gabbana Pour Homme Intenso Dolce&Gabbana (male) ~ 2014,20,20,2014,353
Fève Délicieuse Dior (unisex) ~ 2015,19,18,2015,354
Hermessence Ambre Narguile Hermès (unisex) ~ 2004,15,10,2004,355
Luna Rossa Extreme Prada (male) ~ 2013,17,14,2013,356
Bvlgari Man Wood Neroli Bvlgari (male) ~ 2019,25,31,2019,357
Oud Wood Intense Tom Ford (unisex) ~ 2017,22,25,2017,358
La Nuit de L'Homme Le Parfum Yves Saint Laurent (male) ~ 2010,20,21,2010,359
Akkad Lubin (unisex) ~ 2012,18,17,2012,360
Gucci Nobile Gucci (male) ~ 1988,15,11,1988,361
Desire for a Man Alfred Dunhill (male) ~ 2000,16,13,2000,362
Kenzo Jungle Homme Kenzo (male) ~ 1998,15,11,1998,363
Intoxicated By Kilian (unisex) ~ 2014,15,11,2014,364
Tango Masque Milano (unisex) ~ 2013,14,9,2013,365
Fendi Uomo Fendi (male) ~ 1988,12,5,1988,366
Wonderwood Comme des Garcons (male) ~ 2010,12,5,2010,367
Armani Eau Pour Homme (new) Giorgio Armani (male) ~ 2013,12,5,2013,368
Black XS L'Exces for Him Paco Rabanne (male) ~ 2012,29,40,2012,369
Dior Homme 2020 Dior (male) ~ 2020,47,76,2020,370
Memoirs Of A Trespasser Imaginary Authors (unisex) ~ 2012,19,20,2012,371
Monsieur de Givenchy Givenchy (male) ~ 1959,20,22,1959,372
Bvlgari Man Extreme Bvlgari (male) ~ 2013,24,30,2013,373
Myrrh & Tonka Jo Malone London (unisex) ~ 2016,18,18,2016,374
Alexandria II Xerjoff (unisex) ~ 2012,17,16,2012,375
Dia Man Amouage (male) ~ 2002,14,10,2002,376
Colonia Club Acqua di Parma (unisex) ~ 2015,19,20,2015,377
